build,version,platforms
267137,6.0.9,SunOS9-sparc;freebsd-7.3-intel;linux-2.6-intel;solaris-9-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;SunOS-i386;Linux-i686;FreeBSD7-i386;x86-windows;solaris-9-sparc;SunOS-sparc
271043,6.2.4,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;SunOS10-sparc;solaris-10-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;x86-windows;SunOS-sparc
272177,5.0.14,FreeBSD7-amd64;darwin-64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;Darwin-universal;linux-2.6-amd64;HPUX-ia64;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
272645,6.2.5,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;SunOS10-sparc;solaris-10-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;FreeBSD7-i386;Linux-i686;solaris-8-sparc;x86-windows;SunOS-sparc
272667,6.1.9,AIX-powerpc;SunOS9-sparc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;FreeBSD7-i386;Linux-i686;x86-windows;solaris-9-sparc;SunOS-sparc
272969,6.0.10,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
274160,6.2.6,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;SunOS10-sparc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;FreeBSD7-i386;Linux-i686;solaris-10-sparc;x86-windows;SunOS-sparc
275064,6.2.7,freebsd-7.3-intel;linux-2.6-intel;FreeBSD7-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;HPUX-PARISC;linux-2.6-x86_64;freebsd-7.3-amd64;AIX-powerpc;SunOS10-sparc;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;solaris-10-sparc;x86-windows;SunOS-sparc
275559,6.2.8,freebsd-7.3-intel;linux-2.6-intel;FreeBSD7-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;AIX-powerpc;SunOS10-sparc;solaris-10-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
276357,6.0.11,linux-2.6-ppc64;FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-ppc64;Linux-i686;solaris-9-intel;HPUX-ia64;AIX-powerpc;solaris-8-sparc;linux-2.6-amd64;HPUX-PARISC;SunOS9-sparc;freebsd-7.3-intel;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
